soil_moisture_vwc,timestamp,hour,doy,month,hour_sin,hour_cos,doy_sin,doy_cos,month_sin,month_cos,site_name,comid,lat,lon
0.47026348,2025-01-22 18:00:00,18,22,1,-1.0,-1.8369701987210297e-16,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47015107,2025-01-22 19:00:00,19,22,1,-0.9659258262890684,0.2588190451025203,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.47003353,2025-01-22 20:00:00,20,22,1,-0.8660254037844386,0.5000000000000001,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46992695,2025-01-22 21:00:00,21,22,1,-0.7071067811865477,0.7071067811865474,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46981966,2025-01-22 22:00:00,22,22,1,-0.5000000000000004,0.8660254037844384,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46971738,2025-01-22 23:00:00,23,22,1,-0.25881904510252157,0.9659258262890681,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.46961927,2025-01-23 00:00:00,0,23,1,0.0,1.0,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4695207,2025-01-23 01:00:00,1,23,1,0.25881904510252074,0.9659258262890683,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4694264,2025-01-23 02:00:00,2,23,1,0.49999999999999994,0.8660254037844387,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4693327,2025-01-23 03:00:00,3,23,1,0.7071067811865475,0.7071067811865476,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.4692397,2025-01-23 04:00:00,4,23,1,0.8660254037844386,0.5000000000000001,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
0.469149,2025-01-23 05:00:00,5,23,1,0.9659258262890683,0.25881904510252074,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,"Watauga River, NC",19743430,36.215,-81.687
